JINA_ID,Priority,Ref,Name,Simbad_Identifier,NLTE,Sci_key,C_key,Loc,Type,RA,DEC,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
,,Roederer+2010,,,*,*,*,,,14 32 56.916000000006335,6 46 6.995999999999469,,,,,,,,,,,,,-3.36,,,,,,,,,,,,,,,,,,,,,,,,,1.42,,,,,,,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,22 4 58.367999999997835,4 1 32.124000000000805,,,,,,,,,,,,,-2.88,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,-0.63,,,,,,,,,,,,-1.4,,,,,-1.64,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,2 47 37.442400000000475,-36 6 27.035999999991986,,,,,,,,,,,,,-1.79,,,,,,,,,,,,,,,,,,,,,,,,,2.88,,,,,,,0.34,,,,,,,,,,,,-0.4,,,,,-0.82,,,,,,,,,,,,,,,,2.47,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,0 46 36.19439999999997,-37 39 33.55200000000366,,,,,,,,,,,,,-4.19,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,-2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,4 12 13.88400000000047,-12 5 5.099999999998772,,,,,,,,,,,,,-3.04,,,,,,,,,,,,,,,,,,,,,,,,,1.66,,,,,,,-1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,3 14 20.848799999999947,-10 35 11.292000000000968,,,,,,,,,,,,,-3.86,,,,,,,,,,,,,,,,,,,,,,,,,1.23,,,,,,,-2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,4 24 32.80079999999778,-37 9 2.555999999987648,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.92,,,,,,,-1.1,,,,,,,,,,,,-1.71,,,,,-1.94,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,2 41 42.37440000000049,-13 28 10.524000000000626,,,,,,,,,,,,,-3.49,,,,,,,,,,,,,,,,,,,,,,,,,1.57,,,,,,,-2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,19 53 49.79040000000026,-59 40 0.19199999999273132,,,,,,,,,,,,,-2.99,,,,,,,,,,,,,,,,,,,,,,,,,1.87,,,,,,,-1.31,,,,,,,,,,,,-2.36,,,,,-2.64,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,20 19 21.799199999995835,-61 30 20.016000000009626,,,,,,,,,,,,,-2.97,,,,,,,,,,,,,,,,,,,,,,,,,1.81,,,,,,,-0.89,,,,,,,,,,,,-2.64,,,,,-2.75,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
